,Day/HW,Old LG,LG
0,L1,"LG1.1 Matrix Representation of Facial Images, LG1.2 Linear Combination, Ethics LGs","LinAlg1.1 Matrix Representation of Facial Images, LinAlg1.2 Linear Combination, Ethics LinAlgs"
1,HW1,"LG1.3 Vector & Matrix Definitions & Properties, LG1.4 Vector & Matrix Operations, LG1.5 Special Matrices","LinAlg1.3 Vector & Matrix Definitions & Properties, LinAlg1.4 Vector & Matrix Operations, LinAlg1.5 Special Matrices"
2,L2,"LG2.1 Vectors and Matrices in MATLAB, LG2.2. Data Interpretation, LG2.3 Data Visualization","LinAlg2.1 Vectors and Matrices in MATLAB, LinAlg2.2. Data Interpretation, LinAlg2.3 Data Visualization"
3,HW2,"LG1.4 Vector & Matrix Operations, LG2.4 Transformation Matrices","LinAlg1.4 Vector & Matrix Operations, LinAlg2.4 Transformation Matrices"
4,L3,"LG3.1 Concept Mapping, LG3.2 Researching and Connecting New Concepts","LinAlg3.1 Concept Mapping, LinAlg3.2 Researching and Connecting New Concepts"
5,L4,"LG4.1. Basic programming concepts with MATLAB, LG4.2. Abstraction and Modeling, LG4.3. Linear System of Equations","LinAlg4.1. Basic programming concepts with MATLAB, LinAlg4.2. Abstraction and Modeling, LinAlg4.3. Linear System of Equations"
6,HW3,"LG2.1 Vectors and Matrices in MATLAB, LG4.1. Basic programming concepts with MATLAB","LinAlg2.1 Vectors and Matrices in MATLAB, LinAlg4.1. Basic programming concepts with MATLAB"
7,L5,"LG4.3. Linear System of Equations, LG5.1. Building Blocks, LG5.2. Span","LinAlg4.3. Linear System of Equations, LinAlg5.1. Building Blocks, LinAlg5.2. Span"
8,L6,"LG6.1. Linear Independence/Dependence, LG6.2. Basis, LG6.3. Dimension: Understand the dimension of a vector space","LinAlg6.1. Linear Independence/Dependence, LinAlg6.2. Basis, LinAlg6.3. Dimension: Understand the dimension of a vector space"
9,HW4,"LG4.3. Linear System of Equations, LG6.4. Solutions of Linear Systems of Equations","LinAlg4.3. Linear System of Equations, LinAlg6.4. Solutions of Linear Systems of Equations"
10,L7,"LG7.1. Orthogonal Decomposition, LG7.2. Orthogonality, LG7.3. Orthonormality as a Building Block Property, LG7.4. Vector Projection","LinAlg7.1. Orthogonal Decomposition, LinAlg7.2. Orthogonality, LinAlg7.3. Orthonormality as a Building Block Property, LinAlg7.4. Vector Projection"
11,L8,"LG1.3 Vector & Matrix Definitions & Properties, LG1.4 Vector & Matrix Operations, LG2.2. Data Interpretation, LG2.3 Data Visualization, LG4.3. Linear System of Equations, LG6.1. Linear Independence/Dependence, LG6.4. Solutions of Linear Systems of Equations","LinAlg1.3 Vector & Matrix Definitions & Properties, LinAlg1.4 Vector & Matrix Operations, LinAlg2.2. Data Interpretation, LinAlg2.3 Data Visualization, LinAlg4.3. Linear System of Equations, LinAlg6.1. Linear Independence/Dependence, LinAlg6.4. Solutions of Linear Systems of Equations"
12,HW5,"LG1.1 Matrix Representation of Facial Images, LG2.2. Data Interpretation, LG2.3 Data Visualization, Ethics LGs","LinAlg1.1 Matrix Representation of Facial Images, LinAlg2.2. Data Interpretation, LinAlg2.3 Data Visualization, Ethics LinAlgs"
13,L9,"LG6.4. Solutions of Linear Systems of Equations, LG7.4. Vector Projection, LG9.1. Range, LG9.2. Rank, LG9.3. Solutions of Overconstrained Systems","LinAlg6.4. Solutions of Linear Systems of Equations, LinAlg7.4. Vector Projection, LinAlg9.1. Range, LinAlg9.2. Rank, LinAlg9.3. Solutions of Overconstrained Systems"
14,L10,Ethics LGs,Ethics LinAlgs
15,L11,"LG1.1 Matrix Representation of Facial Images, LG2.1 Vectors and Matrices in MATLAB, LG2.2. Data Interpretation, LG11.1 Definition of Correlation, LG11.2 Correlation in Facial Recognition","LinAlg1.1 Matrix Representation of Facial Images, LinAlg2.1 Vectors and Matrices in MATLAB, LinAlg2.2. Data Interpretation, LinAlg11.1 Definition of Correlation, LinAlg11.2 Correlation in Facial Recognition"
