learningGoals,preReqs,conPostReqs,lessons
LA 1.1,,"LA 1.2, LA 1.6, LA 3.3, LA 4.3, LA 6.1","L1, L11"
LA 1.2,LA 1.1,"LA 2.2, LA 3.1, LA 4.3","L1, L5, HW6"
LA 1.3,,"LA 1.4, LA 1.5, LA 2.3, LA 2.6","HW1, L8"
LA 1.4,LA 1.3,LA 1.7,"HW1, HW2, L8"
LA 1.5,LA 1.3,LA 1.7,HW1
LA 1.6,LA 1.1,"LA 4.3, PR 1.3","L2, L8, HW5, L11, HW6, L15"
LA 1.7,"LA 1.4, LA 1.5",,HW2
LA 2.1,"PR 1.1, PR 1.2",,"L4, HW3"
LA 2.2,LA 1.2,"LA 3.6, LA 4.3","L4, L5, HW4, L8, HW6"
LA 2.3,LA 1.3,"LA 2.4, LA 2.5",L5
LA 2.4,LA 2.3,"LA 2.5, LA 2.7","L6, L8"
LA 2.5,"LA 2.3, LA 2.4","LA 2.7, LA 5.2","L6, L8, L14, HW8"
LA 2.6,LA 1.3,"LA 2.7, LA 3.5","L6, L8"
LA 2.7,"LA 2.4, LA 2.5, LA 2.6",LA 3.7,"HW4, L8, L9"
LA 3.1,LA 1.2,LA 3.2,L7
LA 3.2,LA 3.1,"LA 3.3, LA 3.4",L7
LA 3.3,"LA 1.1, LA 3.2","LA 3.4, LA 3.7",L7
LA 3.4,"LA 3.3, LA 3.2",LA 4.3,"L7, L9, HW6"
LA 3.5,LA 2.6,,L9
LA 3.6,LA 2.2,,L9
LA 3.7,"LA 3.3, LA 2.7",,L9
LA 4.1,,,"L11, HW7"
LA 4.2,LA 4.1,LA 4.2,L11
LA 4.3,"LA 1.1, LA 1.2, LA 1.6, LA 2.2, LA 3.4, PR 1.2",,"HW6, L15"
LA 5.1,,LA 5.2,"L13, HW7"
LA 5.2,"LA 5.1, LA 2.5",LA 5.3,"L13, HW7, L14, HW8"
LA 5.3,LA 5.2,,"L13, L14, HW8, L16"
LA 5.4,"LA 4.1, PR 1.3",,"HW7, HW8, L16"
LA 5.5,LA 5.4 ,,"L14, HW8, L16"
LA 5.6,"LA 5.3, LA 5.4","LA 5.6, LA 6.2","L15, L16"
LA 6.1,"LA 1.1, PR 4.1",LA 6.2,"L17, L19"
LA 6.2,"LA 6.1, LA 5.3, PR 4.1",,L18
LA 6.3,,LA 6.4,L20
LA 6.4,"LA 6.3, LA 3.3",,L20
PR 1.1,,LA 2.1,"HW1, L4, HW3"
PR 1.2,,"LA 2.1, LA 4.3","L2, HW3, L11, HW6, L13, HW7, L14, HW8, HW9"
PR 1.3,LA 1.6,LA 5.4,"L2, L8, HW5, L11, HW6, L15"
PR 4.1,,"LA 6.1, LA 6.2","HW6, L18, L19, HW10"
