enduringUnderstanding,topicInQuestion,classAssociated,assignmentAssociated,,,,topicInQuestion: String with the topic's name.
0,LG1.1 Matrix Representation of Facial Images,"L1, L11, L12","HW5, HW6",,,,classAssociated: String array with the classes where the topic is mentioned.
1,LG1.2 Linear Combination,"L1, L12",HW6,,,,assignmentAssociated: String array with the assignments where the topic is mentioned.
1,LG1.3 Vector & Matrix Definitions & Properties,L8,HW1,,,,pastTopic: String array with past topics (parents).
1,LG1.4 Vector & Matrix Operations,L8,"HW1, HW2",,,,futureTopic: String array with future topics (children).
1,LG1.5 Special Matrices,,HW1,,,,
1,LG2.1 Vectors and Matrices in MATLAB,"L2, L11, L12, L14","HW3, HW6, HW7, HW8",,,,
1,LG2.2. Data Interpretation,"L2, L8, L11, L12, L15","HW5, HW6, HW8",,,,
1,LG2.3 Data Visualization,"L2, L8","HW5, HW7",,,,
0,LG2.4 Transformation Matrices,,HW2,,,,
0,LG3.1 Concept Mapping,L3,,,,,
0,LG3.2 Researching and Connecting New Concepts,L3,,,,,
0,LG4.1. Basic programming concepts with MATLAB,L4,HW3,,,,
0,LG4.2. Abstraction and Modeling,L4,,,,,
1,LG4.3. Linear System of Equations,"L4, L5, L8",HW4,,,,
0,LG5.1. Building Blocks,L5,,,,,
1,LG5.2. Span,L5,,,,,
1,LG6.1. Linear Independence/Dependence,"L6, L8",,,,,
1,LG6.2. Basis,"L6, L14",,,,,
1,LG6.3. Dimension: Understand the dimension of a vector space,L6,,,,,
1,LG6.4. Solutions of Linear Systems of Equations,"L8, L9",HW4,,,,
1,LG7.1. Orthogonal Decomposition,L7,,,,,
1,LG7.2. Orthogonality,L7,,,,,
1,LG7.3. Orthonormality as a Building Block Property,L7,,,,,
1,LG7.4. Vector Projection,"L7, L9",,,,,
0,LG9.1. Range,L9,,,,,
0,LG9.2. Rank,L9,,,,,
0,LG9.3. Solutions of Overconstrained Systems,L9,,,,,
1,LG11.1 Definition of Correlation,L11,HW7,,,,
1,LG11.2 Correlation in Facial Recognition,L11,,,,,
1,LG12.1 Applying Mathematical Concepts to Real-World Problems,"L12, L15","HW6, HW8",,,,
0,LG12.2 Numerical Algorithm Development Pipeline,L12,HW6,,,,
1,LG13.1 Eigen Definitions,L13,HW7,,,,
0,LG13.2 Calculating Eigenvectors and Eigenvalues,L13,HW7,,,,
1,LG13.3 Eigendecomposition Construction,"L13, L14, L16",,,,,
1,LG13.4 Directions of Variation in Data,L14,HW7,,,,
1,LG13.5 Definition of Covariance,,HW7,,,,
1,LG14.1 Eigendecomposition Interpretation,"L14, L16",,,,,
1,LG15.1 Asymptotic Ratios in State Vectors,"L15, L16",HW8,,,,
1,LG17.1. High Level Ideas of PCA,"L17, L19",,,,,
1,LG17.2. Applications of PCA,,HW9,,,,
,LG17.3. Eigenfaces via PCA,"L18, L19",HW10,,,,
0,LG18.1. Math of PCA,L18,,,,,
0,LG20.1. Singular Value Decomposition,L20,,,,,
0,LG20.2. SVD - Interpretations as Orthonormal Bases,L20,,,,,
1,Ethics LGs,"L1, L10",HW5,,,,
